"Exp_ID","UniqueStockID","TrtID_Final","RunBy","till","first.year","initial.SOC","location_name","Can_SOC30","initial.SOC.impute","POLYID","init_active_frac","init_slow_frac","init_passive_frac","mean_c_input"
"E14","E14_CT","ELL_CT_CR3","treatment","FT",1979,NA,"Ellerslie, Alberta",131.9,131.9,727006,44.2365497508534,74.3894207148003,13.2740295343463,2.42433759974593
"E14","E14_NT","ELL_NT_CR3","treatment","NT",1979,NA,"Ellerslie, Alberta",131.9,131.9,727006,73.8143027913017,49.2903411272296,8.79535608146867,2.1985068033938
"E15","E15_CT_CR1 + E15_NT_CR1","IND_CT_CR1","treatment","FT",1987,NA,"Indian Head, Saskatchewan",61.1,61.1,754010,19.6179438142355,35.2724239082106,6.20963227755391,1.76095267358992
"E15","E15_NT_CR4","IND_NT_CR4","treatment","NT",1987,NA,"Indian Head, Saskatchewan",61.1,61.1,754010,33.939364174828,23.094840240122,4.06579558504995,1.3029964604634
"E15","E15_CT_CR2","IND_CT_CR2","treatment","FT",1987,NA,"Indian Head, Saskatchewan",61.1,61.1,754010,19.6179438142355,35.2724239082106,6.20963227755391,0.970110936550051
"E15","E15_CT_CR4","IND_CT_CR4","treatment","FT",1987,NA,"Indian Head, Saskatchewan",61.1,61.1,754010,19.6179438142355,35.2724239082106,6.20963227755391,1.10260575201078
"E15","E15_NT_CR2","IND_NT_CR2","treatment","NT",1987,NA,"Indian Head, Saskatchewan",61.1,61.1,754010,33.939364174828,23.094840240122,4.06579558504995,0.970110936550051
"E16","E16_CT","DEL_CT","treatment","FT",1988,NA,"Delhi, Ontario",57.6,57.6,568002,12.8268398561392,33.3244873477597,11.4486727961012,4.82342547408198
"E16","E16_NT","DEL_NT","treatment","NT",1988,NA,"Delhi, Ontario",57.6,57.6,568002,26.7940478234322,22.9287492829448,7.87720289362296,4.71943107597872
"E17","E17_CT","ELO_CT_CR5","treatment","FT",1967,NA,"Elora, Ontario",90.7,90.7,560003,22.1940304763776,58.422514356988,10.0834551666344,4.58010007385524
"E17","E17_NT","ELO_NT_CR5","treatment","NT",1967,NA,"Elora, Ontario",90.7,90.7,560003,44.9745860152804,38.9950492428305,6.73036474188911,4.43925372393247
"E18","E18_CT","HARRI_CT_CR6","treatment","FT",1987,NA,"Harrigton, Prince Edward Island",45.8,45.8,536013,11.8224869453813,26.6006854075373,7.37682764708144,2.68480912086818
"E18","E18_NT","HARRI_NT_CR6","treatment","NT",1987,NA,"Harrigton, Prince Edward Island",45.8,45.8,536013,23.5278216137185,17.4366855408651,4.8354928454164,2.6407095629273
"E19","E19_CT","CHA_CT_CR6","treatment","FT",1987,NA,"Charlottetown, Prince Edward Island",45.8,45.8,536013,11.6246095076883,27.8928293905751,6.28256110173657,2.35680457400113
"E19","E19_NT","CHA_NT_CR6","treatment","NT",1987,NA,"Charlottetown, Prince Edward Island",45.8,45.8,536013,23.2681935224142,18.389719177668,4.14208729991782,2.35680457400113
"E2","E2_F2_CT_1 + E2_F2_CT_2 + E2_F2_CT_3","HARROW_F2_CR1","treatment","FT",2004,88.7,"Harrow, Ontario",74.2,88.7,570007,19.2053598733425,58.8478586391818,10.6467814874757,3.07082151918995
"E2","E2_F3_CT_1 + E2_F3_CT_2 + E2_F3_CT_3","HARROW_F3_CR1","treatment","FT",2004,88.7,"Harrow, Ontario",74.2,88.7,570007,19.2053598733425,58.8478586391818,10.6467814874757,3.46339625604795
