"site","POLYID","Freq","experiment","year","input_type","modelled_SOC","init_active_frac","init_slow_frac","init_passive_frac"
"E4_328","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",89.05,32.4367235307223,46.2058937455088,10.407382723769
"E4_329","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",94.05,34.2579881871357,48.8002729563739,10.9917388564904
"E4_401","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",89.6,32.6370626429278,46.4912754587039,10.4716618983683
"E4_403","793011",9,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",110.2,39.5105164668393,57.9294530210093,12.7600305121515
"E4_405","793011",43,"E4",1954,"c(""0-15"", ""15-30"")",90.5,32.9648902810822,46.9582637166596,10.5768460022582
"E4_406","793011",43,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",88.9,32.3820855910299,46.1280623691828,10.3898520397873
"E4_407","793011",43,"E4",1954,"c(""0-15"", ""15-30"")",88.9,32.3820855910299,46.1280623691828,10.3898520397873
"E4_408","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",84,30.5972462277448,43.5855707425349,9.81718302972029
"E4_409","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",92.5,33.6933961436475,47.9960154010057,10.8105884553468
"E4_410","793011",43,"E4",1954,"c(""0-15"", ""15-30"")",93.1,33.9119479024171,48.3073409063095,10.8807111912733
"E4_411","793011",43,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",74.75,27.22790661338,38.7859692024343,8.73612418418562
"E4_412","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",87,31.6900050215928,45.142198269054,10.1677967093532
"E4_413","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",84.7,30.8522232796427,43.9487838320561,9.8989928883013
"E4_415","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",91.2,32.4333629469516,48.2567292005649,10.5099078524834
"E4_416","793011",10,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",76.2,27.7560733637399,39.5383391735852,8.90558746267484
"E4_418","793011",44,"E4",1992,"c(""0-7.5"", ""7.5-15"", ""15-30"")",86,31.3257520903101,44.623322426881,10.0509254828089
"E4_419","793011",44,"E4",1954,"c(""0-15"", ""15-30"")",84.7,30.8522232796427,43.948783832056,9.8989928883013
